branch_name,issue,first_activity,last_activity,development_duration_seconds,development_duration_days,development_duration_hours,total_pipelines,mr_state,mr_created_at,merged_at,project
feature/issue-1-us-01-setting-ships-somewhere-,Issue #1,2025-10-19 21:04:22.763000+00:00,2025-10-19 21:48:21.298000+00:00,2638.53,0.03,0.73,29,opened,2025-10-19 21:17:53.717000+00:00,,B06
feature/issue-2-us-02-alternating-shooting-wit,Issue #2,2025-10-19 21:49:40.668000+00:00,2025-10-19 22:42:23.006000+00:00,3162.34,0.04,0.88,22,opened,2025-10-19 22:01:15.445000+00:00,,B06
feature/issue-3-us-03-ship-damage-announcing-s,Issue #3,2025-10-19 22:54:37.340000+00:00,2025-10-19 23:58:24.224000+00:00,3826.88,0.04,1.06,29,opened,2025-10-19 23:16:12.937000+00:00,,B06
feature/issue-4-us-04-playing-alone-against-th,Issue #4,2025-10-19 23:59:30.726000+00:00,2025-10-20 01:11:40.766000+00:00,4330.04,0.05,1.20,11,opened,2025-10-20 01:11:22.970000+00:00,,B06
feature/issue-1-us-01-setting-ships-somewhere-,Issue #1,2025-10-20 01:37:14.834000+00:00,2025-10-20 01:58:59.062000+00:00,1304.23,0.02,0.36,14,invalid_merge,2025-10-20 01:55:44.575000+00:00,2025-10-20 01:57:36.047000+00:00,B07
feature/issue-2-us-02-alternating-shooting-wit,Issue #2,2025-10-20 02:01:00.687000+00:00,2025-10-20 02:50:57.156000+00:00,2996.47,0.03,0.83,26,opened,2025-10-20 02:23:58.397000+00:00,,B07
feature/issue-3-us-03-ship-damage-announcing-s,Issue #3,2025-10-20 02:52:44.397000+00:00,2025-10-20 03:30:34.679000+00:00,2270.28,0.03,0.63,18,opened,2025-10-20 03:32:37.696000+00:00,,B07
feature/issue-4-us-04-playing-alone-against-th,Issue #4,2025-10-20 04:03:24.692000+00:00,2025-10-20 05:12:19.089000+00:00,4134.40,0.05,1.15,26,opened,2025-10-20 04:34:25.764000+00:00,,B07
feature/issue-5-us-05-saving-and-restoring-the,Issue #5,2025-10-20 05:28:09.180000+00:00,2025-10-20 07:09:39.512000+00:00,6090.33,0.07,1.69,33,invalid_merge,2025-10-20 07:06:39.708000+00:00,2025-10-20 07:09:39.512000+00:00,B07
feature/issue-1-us-01-setting-ships-somewhere-,Issue #1,2025-10-20 10:29:41.538000+00:00,2025-10-20 11:19:17.451000+00:00,2975.91,0.03,0.83,27,opened,2025-10-20 10:45:56.241000+00:00,,B08
feature/issue-2-us-02-alternating-shooting-wit,Issue #2,2025-10-20 11:20:25.980000+00:00,2025-10-20 12:15:32.598000+00:00,3306.62,0.04,0.92,30,opened,2025-10-20 11:49:06.973000+00:00,,B08
feature/issue-3-us-03-ship-damage-announcing-s,Issue #3,2025-10-20 12:16:44.260000+00:00,2025-10-20 13:01:33.691000+00:00,2689.43,0.03,0.75,36,opened,2025-10-20 12:35:27.114000+00:00,,B08
feature/issue-4-us-04-playing-alone-against-th,Issue #4,2025-10-20 13:08:30.145000+00:00,2025-10-20 14:25:34.462000+00:00,4624.32,0.05,1.28,61,opened,2025-10-20 13:33:54.325000+00:00,,B08
feature/issue-5-us-05-saving-and-restoring-the,Issue #5,2025-10-20 14:31:42.192000+00:00,2025-10-20 15:14:08.088000+00:00,2545.90,0.03,0.71,24,opened,2025-10-20 14:47:49.634000+00:00,,B08
feature/issue-1-us-01-setting-ships-somewhere-,Issue #1,2025-10-21 00:45:27.563000+00:00,2025-10-21 01:10:52.348000+00:00,1524.79,0.02,0.42,18,opened,2025-10-21 00:59:35.101000+00:00,,B09
feature/issue-2-us-02-alternating-shooting-wit,Issue #2,2025-10-21 01:24:38.089000+00:00,2025-10-21 02:27:27.585000+00:00,3769.50,0.04,1.05,49,opened,2025-10-21 01:47:26.444000+00:00,,B09
feature/issue-3-us-03-ship-damage-announcing-s,Issue #3,2025-10-21 02:29:50.011000+00:00,2025-10-21 03:21:01.321000+00:00,3071.31,0.04,0.85,24,opened,2025-10-21 02:49:20.260000+00:00,,B09
feature/issue-4-us-04-playing-alone-against-th,Issue #4,2025-10-21 03:34:31.652000+00:00,2025-10-21 04:46:32.689000+00:00,4321.04,0.05,1.20,55,opened,2025-10-21 03:58:14.116000+00:00,,B09
feature/issue-5-us-05-saving-and-restoring-the,Issue #5,2025-10-21 04:47:41.249000+00:00,2025-10-21 05:31:43.109000+00:00,2641.86,0.03,0.73,21,opened,2025-10-21 05:23:52.250000+00:00,,B09
feature/issue-1-us-01-setting-ships-somewhere-,Issue #1,2025-10-21 13:02:37.436000+00:00,2025-10-21 13:31:26.917000+00:00,1729.48,0.02,0.48,26,valid_merge,2025-10-21 13:30:30.296000+00:00,2025-10-21 13:31:26.917000+00:00,B10
feature/issue-2-us-02-alternating-shooting-wit,Issue #2,2025-10-21 13:32:49.012000+00:00,2025-10-21 22:07:30.607000+00:00,30881.60,0.36,8.58,41,opened,2025-10-21 14:03:01.915000+00:00,,B10
feature/issue-3-us-03-ship-damage-announcing-s,Issue #3,2025-10-21 14:31:40.757000+00:00,2025-10-21 23:12:05.187000+00:00,31224.43,0.36,8.67,44,no_mr,,,B10
feature/issue-4-us-04-playing-alone-against-th,Issue #4,2025-10-21 23:12:42.556000+00:00,2025-10-22 00:13:55.666000+00:00,3673.11,0.04,1.02,30,opened,2025-10-21 23:35:06.445000+00:00,,B10
feature/issue-5-us-05-saving-and-restoring-the,Issue #5,2025-10-22 00:15:53.152000+00:00,2025-10-22 00:36:38.069000+00:00,1244.92,0.01,0.35,19,no_mr,,,B10
