Issue,Type A Count,Type A Mean (minutes),Type A Median (minutes),Type A Min (minutes),Type A Max (minutes),Type A Std (minutes),Type B Count,Type B Mean (minutes),Type B Median (minutes),Type B Min (minutes),Type B Max (minutes),Type B Std (minutes),Difference Mean (A-B),Difference Median (A-B)
Issue #1,10,44.5764,44.958083333333335,19.733666666666668,74.37383333333334,16.187002393171603,10,40.39536666666666,36.400083333333335,20.680999999999997,83.4005,20.46329245813489,4.181033333333339,8.558
Issue #2,11,54.61628787878788,57.75916666666667,11.219,99.786,30.136019541137784,10,100.37994999999998,57.45266666666667,36.573166666666665,514.6933333333333,145.75243001203745,-45.7636621212121,0.3064999999999998
Issue #3,10,75.68924999999999,71.95608333333334,43.991,107.85383333333333,22.973020393933,10,101.43629999999999,62.607416666666666,18.476666666666667,520.4071666666666,148.37197655851824,-25.74705,9.348666666666674
Issue #4,10,45.74766666666667,48.64783333333333,4.224666666666667,69.34866666666667,19.097978202410673,10,68.84689999999999,70.46199999999999,44.61816666666667,87.12666666666668,13.665021372779426,-23.099233333333324,-21.814166666666658
Issue #5,9,50.255500000000005,46.33983333333333,8.262333333333334,103.08066666666667,28.914738223400498,9,60.96292592592593,49.91133333333333,9.988333333333333,144.53766666666667,41.58135934193342,-10.707425925925925,-3.5715000000000003
OVERALL,50,54.26423666666667,51.56341666666667,4.224666666666667,107.85383333333333,25.778120470532745,49,74.67860204081633,56.85433333333334,9.988333333333333,520.4071666666666,95.32350848997191,-20.41436537414966,-5.290916666666668
